学校名称,经度_WGS84,纬度_WGS84,经度_GCJ02,纬度_GCJ02,500m内公园数量,500m内公园名称,最近公园名称,最近公园步行距离_米,最近公园步行时间_秒,校内绿地率,外围绿地率,总体绿地率,所属类别
海淀区科技园小学大牛坊校区,116.234478,40.066103,116.240537,40.06733,0,,永丰公园,1356,1085,45.70%,39.50%,41.50%,校内高_外围高
海淀区科技园小学（西玉河校区）,116.231856,40.09419,116.237922,40.095421,2,玉河湿地公园; 西玉河雨水湿地公园,玉河湿地公园,274,219,51.10%,39.20%,40.50%,校内高_外围高
海淀区第二实验小学（当代校区）,116.31206,40.042669,116.318175,40.043956,0,,安宁庄公园,1087,870,35.00%,48.80%,47.90%,校内高_外围高
海淀区第四实验小学,116.204257,39.970692,116.210356,39.971946,0,,梵香公园,1097,878,33.30%,45.10%,43.20%,校内高_外围高
海淀区翠微小学（东校区）,116.306952,39.909768,116.31304,39.911041,2,儿童科学公园; 小天鹅公园,儿童科学公园,447,358,31.00%,43.00%,42.30%,校内高_外围高
海淀区翠微小学（北校区）,116.154322,40.052797,116.160566,40.054144,1,温泉村党建主题公园,温泉村党建主题公园,678,542,33.50%,35.40%,35.40%,校内高_外围高
海淀区花园村第二小学,116.312561,39.930015,116.318663,39.931298,0,,阜成路口袋公园,975,780,35.30%,36.10%,36.20%,校内高_外围高
清华大学附属中学上地小学,116.315528,40.015465,116.321647,40.016757,1,荷清园,荷清园,518,414,31.30%,33.50%,33.50%,校内高_外围高
清华大学附属小学,116.316959,39.994411,116.323078,39.995705,0,,清华大学绿园,952,762,36.50%,46.60%,44.60%,校内高_外围高
清华大学附属小学双清苑校区,116.335473,40.008745,116.341636,40.010075,0,,逸成体育公园,583,466,35.90%,43.30%,42.10%,校内高_外围高
首都师范大学附属育新学校小学部,116.340408,40.0565,116.346589,40.057842,0,,新康园社区口袋公园,1149,919,36.10%,38.60%,38.40%,校内高_外围高
中关村第一小学（天秀校区）,116.272857,40.018761,116.278907,40.019992,0,,肖家河·绿动天地,1404,1123,31.90%,27.40%,28.40%,校内高_外围低
中关村第二小学科学城北区分校,116.27788,40.065803,116.283941,40.067041,1,雨水湿地,雨水湿地,651,521,34.50%,25.70%,27.20%,校内高_外围低
中国人民大学附属小学亮甲店分校（东校区）,116.27253,39.928356,116.278568,39.929583,0,,玲珑街心公园,964,771,30.90%,22.20%,23.10%,校内高_外围低
中国农业科学院附属小学（学院南路校区）,116.33093,39.958682,116.337077,39.960001,0,,铁科院宿舍区中心花园,730,584,41.70%,22.50%,24.40%,校内高_外围低
五一小学(欧洲公馆校区),116.252414,39.914845,116.258444,39.916061,2,阳光星期八公园; 永定路街道街心公园,阳光星期八公园,552,442,43.40%,25.20%,28.70%,校内高_外围低
