学校名称,校内绿地率,校内有效像素,校内绿色像素,外围绿地率,外围有效像素,外围绿色像素,总体绿地率,总体有效像素,总体绿色像素
海淀区上地实验小学树村校区,31.9%,3334493,1062522,33.3%,3344231,1112637,33.3%,3935743,1308987
海淀区上地实验小学（上庄校区）,20.6%,2498521,513819,19.5%,2726029,530823,19.8%,3382843,671151
海淀区上庄中心小学（上庄校区）,27.3%,4334016,1185214,24.2%,3554433,859892,24.9%,4312079,1073658
海淀区上庄中心小学（东马坊校区）,29.3%,2715242,795166,8.9%,2947380,262838,12.2%,3480934,424425
海淀区东北旺中心小学,33.6%,2226196,747815,30.2%,2546344,768208,31.1%,3166936,985086
海淀区中关村第一小学,45.6%,2690547,1227972,32.7%,2977313,972575,34.8%,3483017,1211555
海淀区中关村第一小学（党校校区）,33.5%,2304674,773215,40.4%,3051850,1232469,39.8%,3447816,1373834
海淀区中关村第三小学（万柳北校区）,18.0%,3890278,701726,26.1%,3145142,821468,24.6%,3956359,974698
海淀区中关村第三小学（万柳南校区）,24.5%,3019456,739618,26.5%,2906899,769333,26.3%,3681085,967094
海淀区中关村第二小学,22.6%,2548126,576102,31.6%,3591427,1133394,30.9%,3941344,1217916
海淀区中关村第二小学华清校区,35.8%,2032996,727571,23.7%,2775691,659093,25.8%,3268094,843022
海淀区中关村第四小学,33.4%,2425821,809624,44.1%,2974552,1311953,42.9%,3429386,1471441
海淀区九一小学,25.2%,4649355,1173432,32.7%,4696955,1537730,31.6%,5601857,1771171
海淀区五一小学,33.1%,3790014,1253396,35.8%,3005295,1077123,35.4%,4088379,1446550
海淀区五一小学（北校区）,16.8%,2806506,472727,30.5%,3155108,962709,28.9%,3621194,1046152
海淀区五一小学（晋分校区）,19.0%,2528241,480928,34.6%,2973992,1029699,32.6%,3455540,1126037
海淀区八里庄小学,13.6%,1794472,244754,11.9%,2641954,314265,12.2%,3026480,368987
海淀区六一小学,46.3%,2641809,1223530,46.5%,3227241,1500899,46.7%,3647044,1702607
海淀区六郎庄小学,21.5%,3690316,791718,30.3%,3508897,1063989,29.5%,3944428,1162378
海淀区前进小学,33.7%,3236235,1089834,34.8%,5400392,1881558,34.8%,6045665,2106012
海淀区北安河中心小学,19.6%,4048374,793712,34.2%,3381449,1156477,31.5%,4177782,1316638
海淀区北安河中心小学（周家巷校区）,8.5%,4458071,380407,4.2%,3865232,161163,4.7%,4322005,201921
海淀区双榆树中心小学,35.4%,3527160,1247755,28.6%,3638124,1038795,29.3%,3980480,1166095
海淀区双榆树第一小学,14.3%,2589465,371036,28.0%,3197644,895965,27.0%,3494516,942108
海淀区台头小学（红星校区）,23.8%,3723463,886109,7.7%,3432443,265525,10.3%,4043158,415329
海淀区和平小学（东埠头校区）（辛庄校区）,16.3%,3514236,573744,31.7%,4395232,1393841,29.5%,5185689,1528301
海淀区四王府小学,32.6%,2882092,938728,65.6%,4825146,3164875,62.2%,5407751,3363848
海淀区图强第二小学,20.3%,3037780,617963,24.3%,3243082,787398,24.0%,3661021,876856
海淀区培星小学（北校区）,17.1%,2794272,478639,43.0%,3593160,1544804,41.3%,3856898,1592936
海淀区培星小学（南校区）,27.8%,2188026,608311,58.8%,3144585,1848946,55.7%,3529033,1964341
海淀区培英小学,31.0%,3721010,1151738,31.9%,3560201,1134116,31.9%,4147804,1323303
海淀区太平路小学,12.5%,2700707,337712,32.5%,3034251,987370,29.7%,3549090,1054706
海淀区太平路小学（分校）,21.6%,4456439,963812,31.3%,4535324,1418034,30.8%,4804710,1478688
海淀区学院路小学,28.8%,3822845,1102451,29.3%,3737858,1095520,29.4%,4068046,1194777
海淀区定慧里小学,24.2%,3199781,775333,33.6%,3439983,1156745,32.6%,3918057,1277205
海淀区实验小学（北洼路校区）,37.7%,6227004,2349241,32.8%,4398792,1444285,33.4%,4791182,1598125
海淀区实验小学（花园村校区）,24.2%,4639250,1120960,31.3%,4515922,1411232,30.4%,5241625,1591664
海淀区实验小学（苏州街校区）,27.5%,2059945,566465,46.2%,2751828,1272650,43.6%,3240269,1414079
海淀区实验小学（阜成路校区）,19.2%,3059960,587355,21.1%,3401000,717694,21.0%,3772020,792204
海淀区崛起实验学校,34.2%,3980822,1362024,37.3%,3536228,1317681,37.1%,4101701,1520355
海淀区振兴小学,6.7%,1150135,76977,6.7%,2518980,169381,6.8%,2758818,186402
海淀区教师进修学校附属实验小学（西冉校区）,41.6%,2449990,1019847,59.8%,3287136,1964640,58.5%,3595297,2101885
海淀区教师进修学校附属小学,32.5%,3130409,1016448,28.4%,3240089,918784,29.2%,3795144,1108151
海淀区星火小学,33.0%,3240199,1068023,21.7%,3481942,755523,22.8%,3828494,874218
海淀区民族小学（北校区）,52.7%,2923943,1539972,14.5%,3394689,493595,18.0%,3715059,669374
海淀区民族小学（南校区）,40.4%,1882275,760144,21.6%,2585084,557433,25.0%,3106059,777644
海淀区永丰中心小学,38.4%,1711971,656783,46.0%,2257651,1038592,45.0%,2738569,1231664
海淀区永丰中心小学（宏丰校区）,27.2%,1937518,526893,45.5%,2714309,1234630,43.2%,3146624,1360090
海淀区永丰中心小学（屯佃校区）,27.6%,1493122,412272,21.3%,2427741,516013,22.3%,2799325,624236
海淀区永泰小学,16.2%,3474614,564473,24.8%,3400549,844087,23.7%,3955706,937142
海淀区永泰小学（清缘里校区）,19.1%,4047891,772325,27.3%,3659323,999827,26.4%,4177194,1102185
海淀区清河第四小学,52.4%,2511364,1315501,43.6%,2851196,1242952,45.1%,3316803,1496532
海淀区玉泉小学,9.5%,4064935,386816,30.7%,3658924,1122494,28.4%,4118488,1169004
海淀区玉泉小学（五里校区）,18.8%,4320201,813507,36.1%,3782256,1365903,34.5%,4196658,1447663
海淀区科技园小学大牛坊校区,45.7%,3313886,1515176,39.5%,2799684,1106467,41.5%,3739273,1552117
海淀区科技园小学（西玉河校区）,51.1%,2751957,1406966,39.2%,3324547,1304224,40.5%,3655602,1482230
海淀区第三实验小学（南校区）,55.7%,5147462,2868153,24.5%,3882298,951375,28.4%,4402236,1251608
海淀区第二实验小学橡树校区,27.3%,3948444,1078297,28.1%,3272267,918106,28.1%,4052699,1140242
海淀区第二实验小学（当代校区）,35.0%,3096131,1085171,48.8%,3714824,1811396,47.9%,4015033,1924183
海淀区第二实验小学（汇缘校区）,22.9%,1629403,372359,31.4%,2705179,849861,30.7%,3010676,924400
海淀区第二实验小学（清宁校区）,36.0%,3057422,1099936,26.5%,3281770,869852,27.7%,3684386,1022414
海淀区第四实验小学,33.3%,4750442,1581858,45.1%,3816900,1721827,43.2%,4664996,2014446
海淀区红英小学（六里屯校区）,25.3%,2787218,705121,31.6%,3124270,987878,31.1%,3509279,1091029
海淀区红英小学（冷泉校区）,28.6%,2113204,605276,14.0%,2551619,357662,16.4%,2997164,490721
海淀区红英小学（唐家岭校区）,25.6%,2815500,721429,31.2%,3255925,1016108,30.8%,3638838,1120230
海淀区红英小学（韩家川校区）,18.1%,4601026,832181,39.9%,3844850,1533150,37.9%,4242232,1608482
海淀区羊坊店中心小学,28.4%,5387576,1529359,20.3%,4494551,913786,21.5%,5130974,1100763
海淀区羊坊店中心小学（低年级部）,15.6%,5823348,907259,21.1%,4399886,927495,20.8%,4733387,983167
海淀区羊坊店第五小学,20.4%,3857492,785668,23.4%,3585790,837844,23.1%,4023542,930594
海淀区羊坊店第四小学,25.5%,3161105,804846,9.5%,3152446,299947,11.7%,3628210,425019
海淀区翠微小学,29.3%,4245506,1244885,13.3%,3665071,486679,15.8%,4300929,677806
海淀区翠微小学（东校区）,31.0%,4130819,1279245,43.0%,3923514,1687568,42.3%,4204479,1780267
海淀区翠微小学（北校区）,33.5%,1738895,582609,35.4%,2204526,780953,35.4%,2822098,997726
海淀区翠微小学（白家疃校区）,43.8%,2463081,1078175,20.6%,3198024,659814,22.4%,3436055,769545
海淀区翠微小学（西校区）,17.0%,3897127,663841,31.5%,3635133,1146339,30.1%,4060971,1222211
海淀区翠湖小学（白水洼校区）,26.2%,4951906,1298060,15.4%,3695130,568441,17.4%,4468044,776871
海淀区育鹰小学（东校区）,22.9%,1853458,424443,34.6%,2935484,1016705,33.6%,3259409,1095807
海淀区育鹰小学（西校区）,12.8%,3389022,434271,25.4%,3640608,925692,23.9%,4148315,993440
海淀区花园村第二小学,35.3%,2762969,974151,36.1%,3630587,1309272,36.2%,3882751,1403973
海淀区花园村第二小学（潘庄校区）,25.5%,6239029,1591137,27.5%,4478591,1231973,27.5%,4953031,1360419
海淀区苏家坨中心小学（苏三四校区）,26.3%,3271032,859473,16.3%,3357382,547035,17.9%,3931718,704017
海淀区苏家坨中心小学（西小营校区）,23.5%,3395638,797620,15.1%,4425751,667470,16.4%,5133681,839499
海淀区西苑小学,40.0%,4909547,1965403,17.8%,3837810,684367,20.5%,4332206,887746
海淀区西颐小学,30.7%,2913525,894694,21.0%,3303239,694535,22.0%,3642214,803003
海淀第二实验小学安宁分校,29.5%,2605902,769179,26.8%,2714830,726680,27.4%,3274937,897639
清华大学附属中学上地小学,31.3%,5152898,1612526,33.5%,4475459,1501116,33.5%,4798247,1607988
清华大学附属小学,36.5%,2963168,1082083,46.6%,2877472,1342138,44.6%,3746883,1672683
清华大学附属小学双清苑校区,35.9%,4288672,1539434,43.3%,3481332,1509027,42.1%,4363937,1837537
清华大学附属小学清河分校（强佑校区）,18.9%,1867160,352408,18.7%,2846744,532883,18.8%,3210275,604790
清华大学附属小学清河分校（朱房校区）,7.0%,3304175,231672,17.2%,3531778,607547,16.3%,3877045,633678
翠湖小学前章村校区,28.7%,4672776,1340180,17.2%,3618709,624059,19.4%,4377293,847051
首都师范大学实验小学（北校区）,4.5%,2625098,116897,22.9%,3065297,701181,20.3%,3571080,725938
首都师范大学实验小学（南校区）,13.0%,3095166,400936,15.1%,3578932,540603,14.9%,4071844,607768
首都师范大学附属小学,34.6%,3262248,1129552,18.1%,2826999,512105,21.9%,3620474,794531
首都师范大学附属小学（柳明校区）,2.1%,2820637,59701,51.7%,3355557,1735011,46.8%,3729271,1745323
首都师范大学附属育新学校小学部,36.1%,4049836,1461279,38.6%,3507540,1352928,38.4%,4189340,1608553
香山小学,21.1%,2048347,433031,43.4%,4722895,2048340,41.2%,5249197,2163959
