学校名称,经度,纬度,校内绿地率,外围绿地率,总体绿地率,所属类别
海淀区民族小学（北校区）,116.36787475615283,39.97861267335249,52.70%,14.50%,18.00%,校内高_外围低
海淀区民族小学（南校区）,116.3699614297652,39.97111985991157,40.40%,21.60%,25.00%,校内高_外围低
海淀区第三实验小学（南校区）,116.3379794372163,39.99008572439664,55.70%,24.50%,28.40%,校内高_外围低
海淀区第二实验小学（清宁校区）,116.32891145194833,40.040159745975316,36.00%,26.50%,27.70%,校内高_外围低
海淀区翠微小学（白家疃校区）,116.16916576814064,40.0401020218297,43.80%,20.60%,22.40%,校内高_外围低
海淀区西苑小学,116.28758401271783,39.991436453379144,40.00%,17.80%,20.50%,校内高_外围低
海淀区西颐小学,116.30702014908452,39.96382746774547,30.70%,21.00%,22.00%,校内高_外围低
首都师范大学附属小学,116.26495208772793,39.940902681489135,34.60%,18.10%,21.90%,校内高_外围低
中关村第一小学西二旗分校,116.30476811735164,40.04885371482726,26.40%,37.90%,36.60%,校内低_外围高
中国人民大学附属小学,116.27190490226465,39.96410037773344,8.50%,47.10%,38.80%,校内低_外围高
中国人民大学附属小学亮甲店分校（西校区）,116.26637999700398,39.93186217709319,22.90%,38.50%,37.50%,校内低_外围高
中国农业大学附属实验小学,116.34735431113079,40.00213601755814,15.50%,44.90%,42.10%,校内低_外围高
中国农业科学院附属小学（农科院校区）,116.322399663769,39.95643288570227,20.30%,35.30%,33.90%,校内低_外围高
北京交通大学附属小学（北校区）,116.33612902676131,39.952581088453435,28.00%,33.10%,32.90%,校内低_外围高
北京医科大学附属小学（花园路校区）,116.35784487014845,39.983863676818586,24.60%,31.00%,30.60%,校内低_外围高
北京外国语大学附属小学（魏公村校区）,116.31180457491051,39.95232394391805,21.60%,32.40%,31.70%,校内低_外围高
北京大学附属小学（肖家河分校）,116.2819977894469,40.019421964620804,23.90%,40.80%,38.60%,校内低_外围高
北京市海淀区万泉小学（北校区）,116.29595503891204,39.96919212311734,20.60%,28.80%,27.70%,校内低_外围高
北京石油学院附属小学,116.35745205113814,39.99367938095352,24.20%,35.20%,34.10%,校内低_外围高
北京石油学院附属小学（东校区）,116.36165603797465,39.994921808061314,23.70%,37.10%,35.10%,校内低_外围高
北京邮电大学附属小学（明光村校区）,116.347365652565,39.953820807422275,20.90%,28.10%,27.70%,校内低_外围高
北师大实验小学,116.36234459985971,39.96185546729863,29.70%,29.90%,30.00%,校内低_外围高
海淀区七一小学,116.30093429683888,39.89707157432706,23.90%,34.80%,33.00%,校内低_外围高
海淀区中关村第二小学,116.3108333996862,39.98602523982589,22.60%,31.60%,30.90%,校内低_外围高
海淀区九一小学,116.35587294319679,39.977918605445396,25.20%,32.70%,31.60%,校内低_外围高
海淀区五一小学（北校区）,116.2579801802114,39.901859513742366,16.80%,30.50%,28.90%,校内低_外围高
海淀区五一小学（晋分校区）,116.20151149558917,39.92003840014487,19.00%,34.60%,32.60%,校内低_外围高
海淀区六郎庄小学,116.28722479417799,39.989585555826274,21.50%,30.30%,29.50%,校内低_外围高
海淀区北安河中心小学,116.11156993790088,40.06567543591429,19.60%,34.20%,31.50%,校内低_外围高
海淀区双榆树第一小学,116.32121201352663,39.96892319360384,14.30%,28.00%,27.00%,校内低_外围高
海淀区和平小学（东埠头校区）（辛庄校区）,116.14555957811767,40.06285542869946,16.30%,31.70%,29.50%,校内低_外围高
海淀区培星小学（北校区）,116.2448663241549,40.007905048080424,17.10%,43.00%,41.30%,校内低_外围高
海淀区培星小学（南校区）,116.25039363412411,40.00344640112383,27.80%,58.80%,55.70%,校内低_外围高
海淀区太平路小学,116.25324815313053,39.900279121673115,12.50%,32.50%,29.70%,校内低_外围高
海淀区太平路小学（分校）,116.24868714651302,39.90481620006219,21.60%,31.30%,30.80%,校内低_外围高
海淀区学院路小学,116.34509000000013,39.969559400000044,28.80%,29.30%,29.40%,校内低_外围高
海淀区定慧里小学,116.27484104819057,39.92092073815321,24.20%,33.60%,32.60%,校内低_外围高
海淀区实验小学（花园村校区）,116.30256415715684,39.92623485262926,24.20%,31.30%,30.40%,校内低_外围高
海淀区实验小学（苏州街校区）,116.29896246611949,39.949789731621486,27.50%,46.20%,43.60%,校内低_外围高
海淀区永丰中心小学（宏丰校区）,116.23202440116907,40.04551648911436,27.20%,45.50%,43.20%,校内低_外围高
海淀区玉泉小学,116.24894250221216,39.91704618613723,9.50%,30.70%,28.40%,校内低_外围高
海淀区玉泉小学（五里校区）,116.25105823469919,39.91967646786697,18.80%,36.10%,34.50%,校内低_外围高
海淀区第二实验小学橡树校区,116.32479854555005,40.02870290296838,27.30%,28.10%,28.10%,校内低_外围高
海淀区第二实验小学（汇缘校区）,116.31765306536401,40.02750050618813,22.90%,31.40%,30.70%,校内低_外围高
海淀区红英小学（六里屯校区）,116.24657566171254,40.062204604581645,25.30%,31.60%,31.10%,校内低_外围高
海淀区红英小学（唐家岭校区）,116.26864141217929,40.06282397588354,25.60%,31.20%,30.80%,校内低_外围高
海淀区红英小学（韩家川校区）,116.23499860042499,40.033284306432655,18.10%,39.90%,37.90%,校内低_外围高
海淀区翠微小学（西校区）,116.29087035038346,39.91223668455625,17.00%,31.50%,30.10%,校内低_外围高
海淀区育鹰小学（东校区）,116.32811403594013,40.04877778294995,22.90%,34.60%,33.60%,校内低_外围高
首都师范大学附属小学（柳明校区）,116.23191480628255,39.92043297312523,2.10%,51.70%,46.80%,校内低_外围高
香山小学,116.1997249357592,39.987370705390795,21.10%,43.40%,41.20%,校内低_外围高
中关村一小科学城分校,116.1985856286523,40.04793079590209,22.00%,27.00%,26.30%,校内低_外围低
中关村第二小学（万泉河分校）,116.29540946586678,39.98512834035496,10.80%,26.20%,24.70%,校内低_外围低
中国农业大学附属小学,116.27275788257751,40.02026648074131,21.50%,26.10%,25.60%,校内低_外围低
中国农业科学院附属小学（政法路校区）,116.34425866463945,39.961926907426886,25.90%,27.20%,27.20%,校内低_外围低
人大附中北大附小联合实验学校,116.1667961368696,40.07281903978687,29.10%,25.90%,27.20%,校内低_外围低
北京交通大学附属小学（东校区）,116.34222939981098,39.951726169680036,14.50%,26.00%,25.00%,校内低_外围低
北京外国语大学附属小学（万寿寺校区）,116.30651296269369,39.95020291233839,17.30%,27.00%,26.40%,校内低_外围低
北京市海淀北部新区实验学校（小学部）,116.14495881947526,40.09795180668446,26.50%,22.70%,23.50%,校内低_外围低
北京市海淀区万泉小学（小南庄校区）,116.29982789181972,39.96675836465278,19.10%,16.00%,16.30%,校内低_外围低
北京理工大学附属中学（小学部）,116.2977066616696,39.94506416429869,22.70%,23.20%,23.20%,校内低_外围低
北京邮电大学附属小学（志强校区）,116.35863668997263,39.94629904738345,11.50%,27.00%,26.40%,校内低_外围低
北京邮电大学附属小学（文慧园校区）,116.35393300402183,39.95007142150506,25.90%,16.00%,17.00%,校内低_外围低
北京邮电大学附属小学（海淀区今典小学）,116.35396178440968,39.954091761901054,27.20%,15.70%,17.20%,校内低_外围低
北大附中新馨学校（小学部）,116.34633241579974,40.0569021155056,15.70%,21.00%,20.10%,校内低_外围低
和平小学杨家庄校区,116.18804634412501,40.04161172821332,25.70%,16.40%,17.80%,校内低_外围低
海淀区上地实验小学（上庄校区）,116.19598227353033,40.12678632915804,20.60%,19.50%,19.80%,校内低_外围低
海淀区上庄中心小学（上庄校区）,116.20790737940693,40.11254914372081,27.30%,24.20%,24.90%,校内低_外围低
海淀区上庄中心小学（东马坊校区）,116.19343063873109,40.09311040846936,29.30%,8.90%,12.20%,校内低_外围低
海淀区中关村第三小学（万柳北校区）,116.28957692426059,39.96761403089659,18.00%,26.10%,24.60%,校内低_外围低
海淀区中关村第三小学（万柳南校区）,116.29150296537976,39.961244981240604,24.50%,26.50%,26.30%,校内低_外围低
